Timestamp,Latency_ms,FPS,CPU_%,RAM_%,Temp_C,Throttled,Predicted_Class,Confidence,Bus_V_mV,Bus_P_mW,Bat_V_mV,Bat_I_mA,Bat_Pct
23:43:38.584,15.4,0.0,20.3,8.0,52.4,No,disease,0.65,15294,7156,16793,-3,94
23:43:38.630,15.3,0.0,59.4,8.1,52.9,No,disease,0.60,15294,7156,16793,-3,94
23:43:38.702,15.2,0.0,51.7,8.1,53.5,No,disease,0.92,15294,7156,16793,-3,94
23:43:38.778,15.1,0.0,48.4,8.1,54.5,No,disease,0.98,15294,7156,16793,-3,94
23:43:38.855,15.2,0.0,50.0,8.1,55.6,No,disease,0.99,15294,7156,16793,-3,94
23:43:38.930,14.9,0.0,48.4,8.1,52.9,No,disease,0.99,15294,7156,16793,-3,94
23:43:39.019,15.5,0.0,41.7,8.1,54.5,No,disease,0.99,15294,7156,16793,-3,94
23:43:39.110,15.4,0.0,42.1,8.1,54.5,No,disease,0.99,15294,7156,16793,-3,94
23:43:39.198,15.3,0.0,42.9,8.1,55.1,No,disease,0.99,15294,7156,16793,-3,94
23:43:39.290,15.3,10.3,39.5,8.1,54.5,No,disease,0.99,15294,7156,16793,-3,94
23:43:39.378,15.2,10.3,42.9,8.1,55.1,No,disease,0.99,15294,7156,16793,-3,94
23:43:39.470,15.0,10.3,39.5,8.1,54.5,No,disease,0.99,15294,7156,16793,-3,94
23:43:39.558,15.1,10.3,44.4,8.1,54.5,No,disease,0.99,15294,7156,16793,-3,94
23:43:39.653,15.3,10.3,39.5,8.1,55.1,No,disease,1.00,15305,6288,16789,-26,94
23:43:39.738,15.0,10.3,44.4,8.1,54.5,No,disease,0.99,15305,6288,16789,-26,94
23:43:39.830,15.0,10.3,39.5,8.1,56.2,No,disease,0.99,15305,6288,16789,-26,94
23:43:39.918,15.0,10.3,44.4,8.1,55.1,No,disease,0.99,15305,6288,16789,-26,94
23:43:40.010,15.0,10.3,42.5,8.1,55.6,No,disease,0.99,15305,6288,16789,-26,94
23:43:40.102,15.2,10.3,43.6,8.1,55.6,No,disease,0.99,15305,6288,16789,-26,94
23:43:40.190,15.2,11.1,46.2,8.1,55.6,No,disease,0.99,15305,6288,16789,-26,94
23:43:40.282,14.9,11.1,45.0,8.1,55.6,No,disease,0.99,15305,6288,16789,-26,94
23:43:40.370,15.1,11.1,46.2,8.1,56.8,No,disease,0.99,15305,6288,16789,-26,94
23:43:40.975,14.9,11.1,9.7,8.1,54.0,No,disease,0.98,15292,7080,16792,-15,94
